Money,Earnings,Rise or fall between days,Rise or fall between weeks
2715.416989,1715.416989,312.010667,294.959547
3027.427656,2027.427656,-2.865394,-19.854136
3024.562262,2024.562262,-2.860005,-19.816808
3021.702257,2021.702257,-2.854629,-19.779583
3018.847628,2018.847628,-2.84927,-19.742465
3015.998358,2015.998358,-2.813547,-19.705449
3013.184811,2013.184811,-2.808275,-19.698916
3010.376536,2010.376536,-2.803016,-19.662277
3007.57352,2007.57352,-2.828066,0.829819
3004.745454,2004.745454,-2.82278,225.412085
3001.922674,2001.922674,-2.817511,225.220565
2999.105163,1999.105163,-2.812254,225.029368
2996.292909,1996.292909,-2.807014,224.83849
2993.485895,1993.485895,-2.771636,224.647933
2990.714259,1990.714259,17.68908,224.427542
3008.403339,2008.403339,221.7542,203.783097
3230.157539,2230.157539,-3.0143,-20.921012
3227.143239,2227.143239,-3.008708,73.262337
3224.134531,2224.134531,-3.003132,73.214008
3221.131399,2221.131399,-2.997571,-546.834268
3218.133828,2218.133828,-2.992027,-547.882492
3215.141801,2215.141801,-2.955365,-548.930662
3212.186436,2212.186436,-2.949909,-550.009911
3209.236527,2209.236527,91.169049,-551.08905
3300.405576,2300.405576,-3.057037,-531.668195
3297.348539,2297.348539,-623.051408,-510.187164
2674.297131,1674.297131,-4.045795,108.726112
2670.251336,1670.251336,-4.040197,108.639511
2666.211139,1666.211139,-4.034614,108.553032
2662.176525,1662.176525,-4.029048,108.466675
2658.147477,1658.147477,110.589904,108.412239
2768.737381,1768.737381,18.423994,-6.255534
2787.161375,1787.161375,-4.138132,-28.751796
2783.023243,1783.023243,-4.132396,-28.680348
2778.890847,1778.890847,-4.126676,-28.640748
2774.764171,1774.764171,-4.120971,-28.601256
2770.6432,1770.6432,-4.083484,-28.561873
2766.559716,1766.559716,-4.077869,-28.554395
2762.481847,1762.481847,-4.072268,-28.546965
2758.409579,1758.409579,-4.066684,-28.539586
2754.342895,1754.342895,-4.092796,-28.532253
2750.250099,1750.250099,-4.087184,-28.493288
2746.162915,1746.162915,-4.081588,-28.422974
2742.081327,1742.081327,-4.076006,-28.352822
2738.005321,1738.005321,-4.070439,-28.314228
2733.934882,1733.934882,-4.064889,-28.27574
2729.869993,1729.869993,-4.059351,-28.237354
2725.810642,1725.810642,-4.053831,-28.199074
2721.756811,1721.756811,-4.01687,-28.160895
2717.739941,1717.739941,-4.011436,-28.154274
2713.728505,1713.728505,-4.037412,-28.11647
2709.691093,1709.691093,-4.031951,-28.047371
2705.659142,1705.659142,-4.026503,-27.978429
2701.632639,1701.632639,-4.021071,-27.94079
2697.611568,1697.611568,-4.015652,-27.903251
2693.595916,1693.595916,-4.010249,-27.865813
2689.585667,1689.585667,-3.973632,-27.828476
2685.612035,1685.612035,-3.968313,-27.822466
2681.643722,1681.643722,-3.963009,-27.785495
2677.680713,1677.680713,-3.988864,-27.748622
2673.691849,1673.691849,-3.983532,-27.680702
2669.708317,1669.708317,-3.978214,-27.643859
2665.730103,1665.730103,-3.972912,-27.607116
2661.757191,1661.757191,-3.967622,-27.570469
2657.789569,1657.789569,-3.931342,-27.533921
2653.858227,1653.858227,-3.926136,-27.528475
2649.932091,1649.932091,-3.920944,-27.523071
2646.011147,1646.011147,-3.946689,-27.517709
2642.064458,1642.064458,-3.941471,-27.450733
2638.122987,1638.122987,-3.936265,-27.383905
2634.186722,1634.186722,-3.931074,-27.317228
2630.255648,1630.255648,-3.925896,-27.250699
2626.329752,1626.329752,-3.920732,-27.214944
2622.40902,1622.40902,-3.915582,-27.179284
2618.493438,1618.493438,-3.879713,-27.143718
2614.613725,1614.613725,-3.874643,-27.138977
2610.739082,1610.739082,-3.869588,-27.134277
2606.869494,1606.869494,-3.864545,-27.129615
2603.004949,1603.004949,-3.890141,-27.124993
2599.114808,1599.114808,-3.885072,-27.059347
2595.229736,1595.229736,-3.880016,-26.993846
2591.34972,1591.34972,-3.874972,11.32363
2587.474748,1587.474748,-3.869943,11.325108
2583.604805,1583.604805,-3.864926,11.326553
2579.739879,1579.739879,-3.859923,11.327965
2575.879956,1575.879956,-3.824495,11.329344
2572.055461,1572.055461,-3.819571,11.300253
2568.23589,1568.23589,34.43746,11.301587
2602.67335,1602.67335,-3.873494,-26.979609
2598.799856,1598.799856,-3.868498,-26.944932
2594.931358,1594.931358,-3.863514,-26.910344
2591.067844,1591.067844,-3.858544,-26.875847
2587.2093,1587.2093,-3.853586,-26.841438
2583.355714,1583.355714,-3.818237,-26.807119
2579.537477,1579.537477,-3.843736,-26.803294
2575.693741,1575.693741,-3.838817,-26.738932
2571.854924,1571.854924,-3.83391,40.821679
2568.021014,1568.021014,-3.829017,40.797485
2564.191997,1564.191997,-3.824135,40.773305
2560.367862,1560.367862,-3.819267,110.749135
2556.548595,1556.548595,-3.814412,107.901597
2552.734183,1552.734183,-3.779374,105.068575
2548.954809,1548.954809,63.721794,102.250032
2612.676603,1612.676603,-3.858104,230.26658
2608.818499,1608.818499,-3.853197,227.196999
2604.965302,1604.965302,66.151695,224.142637
2671.116997,1671.116997,-6.666805,151.103404
2664.450192,1664.450192,-6.647434,150.902593
2657.802758,1657.802758,-6.597917,150.70223
2651.204841,1651.204841,191.738342,150.472069
2842.943183,1842.943183,-6.927685,-48.044002
2836.015498,1836.015498,-6.907559,108.94486
2829.107939,1829.107939,-6.887538,378.860892
2822.220401,1822.220401,-6.867616,378.282765
2815.352785,1815.352785,-6.847797,377.706337
2808.504988,1808.504988,-6.828078,377.131602
2801.67691,1801.67691,-6.777729,376.558553
2794.899181,1794.899181,150.061177,375.98866
2944.960358,1944.960358,263.008473,286.66949
3207.968831,2207.968831,-7.465665,95.188871
3200.503166,2200.503166,-7.444044,95.094326
3193.059122,2193.059122,-7.422532,94.999844
3185.63659,2185.63659,-7.401127,94.905426
3178.235463,2178.235463,-7.347622,94.811072
3170.887841,2170.887841,60.742007,94.71702
3231.629848,2231.629848,71.527854,71.392901
3303.157702,2303.157702,-7.56021,-7.640351
3295.597492,2295.597492,-7.538526,-7.564249
3288.058966,2288.058966,-7.51695,-7.488645
3280.542016,2280.542016,-7.495481,-7.413533
3273.046535,2273.046535,-7.441674,-7.338911
3265.604861,2265.604861,37.417888,-7.264961
3303.022749,2303.022749,-7.505398,74.623227
3295.517351,2295.517351,-7.484108,74.564493
3288.033243,2288.033243,-7.462922,74.505708
3280.570321,2280.570321,-7.441838,74.446874
3273.128483,2273.128483,-7.420859,74.387991
3265.707624,2265.707624,-7.367724,74.329061
3258.3399,2258.3399,119.306076,74.270235
3377.645976,2377.645976,-7.564132,-52.441763
3370.081844,2370.081844,-7.542893,-52.263024
3362.538951,2362.538951,-7.521756,-52.117346
3355.017195,2355.017195,-7.500721,-51.972369
3347.516474,2347.516474,-7.479789,-51.828091
3340.036685,2340.036685,-7.42655,-51.684504
3332.610135,2332.610135,-7.405922,-51.574012
3325.204213,2325.204213,-7.385393,-51.4641
3317.81882,2317.81882,-7.397215,-51.322821
3310.421605,2310.421605,-7.376779,-51.149963
3303.044826,2303.044826,-7.356443,-50.977877
3295.688383,2295.688383,-7.336202,-50.838351
3288.352181,2288.352181,-7.316058,-50.699488
3281.036123,2281.036123,-7.29601,-50.561284
3273.740113,2273.740113,-7.244114,-50.423734
3266.495999,2266.495999,-7.224357,-50.318777
3259.271642,2259.271642,-7.204693,-50.214366
3252.066949,2252.066949,-7.216917,-50.079002
3244.850032,2244.850032,-7.197339,-5.317058
3237.652693,2237.652693,-7.177854,-5.252207
3230.474839,2230.474839,-7.15846,-5.18777
3223.316379,2223.316379,-7.139157,-5.123743
3216.177222,2216.177222,-7.119946,-5.060125
3209.057276,2209.057276,-7.069329,-4.996912
3201.987947,2201.987947,37.545027,-4.965595
3239.532974,2239.532974,-7.132488,-49.498718
3232.400486,2232.400486,-7.113417,-7.51729
3225.287069,2225.287069,-7.094433,-7.450751
3218.192636,2218.192636,-7.075539,-7.384621
3211.117097,2211.117097,-7.056733,-7.318897
3204.060364,2204.060364,-7.038012,-7.253575
3197.022352,2197.022352,-6.988096,-7.188654
3190.034256,2190.034256,34.84894,-7.124297
3224.883196,2224.883196,-7.046878,-48.909987
3217.836318,2217.836318,-7.028303,-48.78179
3210.808015,2210.808015,-7.009815,-48.654181
3203.7982,2203.7982,-6.991411,-48.527154
3196.806789,2196.806789,-6.973091,-48.400708
3189.833698,2189.833698,-6.923739,-48.274838
3182.909959,2182.909959,-6.93675,-48.149871
3175.973209,2175.973209,-6.918681,-47.994403
3169.054528,2169.054528,-6.900694,-47.839593
3162.153834,2162.153834,-6.882788,-47.716086
3155.271046,2155.271046,-6.864965,-47.593138
3148.406081,2148.406081,-6.847221,-47.470746
3141.55886,2141.55886,-6.798772,-47.348906
3134.760088,2134.760088,-6.781282,-47.258401
3127.978806,2127.978806,-6.763871,-47.16835
